Question,Class,Head,Head_POS,Neck_Label,Root_POS,PER,LOC,OBJ,TEM,NUM
How do you calculate the change in enthalpy of a chemical reaction ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What are some children's rights ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
How is the element strontium purified ?,DESC,How,WRB,auxpass,VBN,0,0,0,0,0
How did Peabody and Sherman travel through time ?,DESC,How,WRB,aux,VBP,0,0,0,0,0
How do you make dumplings ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is the meaning of the name Kathryn ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
What should you do for an ankle sprain ?,DESC,What,WP,aux,VB,0,0,0,0,0
What is thermal equilibrium ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the origin of the typing practice sentence '' Now is the time for all good men to come to the aid of their country '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How is an executioner determined ?,DESC,How,WRB,auxpass,VBN,0,0,0,0,0
What is the medical condition of hypertension ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is Doegs ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do I find if my relatives were on the Trail of Tears ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How do you select wine ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is infomatics ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the purpose of BIOS ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
Why did the Shea & Gould law firm leave Los Angeles ?,DESC,Why,WRB,aux,VB,0,1,0,0,0
What is a pig in a poke ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is a cullion ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What are the most common causes of death in the U.S. ?,DESC,What,WP,ROOT,VBP,0,1,0,0,0
What is barnstorming ?,DESC,What,WP,aux,VBG,0,0,0,0,0
What was the importance of Magellan ?,DESC,What,WP,ROOT,VBD,0,1,0,0,0
What do I have to do to get good grades in school ?,DESC,What,WP,aux,VB,0,0,0,0,0
What is the origin of the term '' buffalo wings '' that is used as a menu item in bars across the nation for chicken wings in a spicey sauce ?,DESC,What,WP,np,VBZ,0,0,0,0,0
What type of childhood did Jules Verne have ?,DESC,What,WDT,np,VB,1,0,0,0,0
What is a leper ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What are the '' Star Wars '' satellites ?,DESC,What,WP,ROOT,VBP,0,1,0,0,0
What is a philanthropist ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is a portal ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do websites like Yahoo and Excite make money ?,DESC,How,WRB,np,VB,1,1,0,0,0
How do they produce vitamins ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What does idle mean ?,DESC,What,WP,aux,VB,0,0,0,0,0
What is a serigraph ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the meaning of '' subaru ? '',DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is endometriosis ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is a geoscientist ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
From what cause does tuberculosis stem ?,DESC,From,IN,np,VB,0,0,0,0,0
What is the VDRL test of blood ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why is hockey so violent ?,DESC,Why,WRB,ROOT,VBZ,0,0,0,0,0
What is a leaky heart valve ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How can I give myself a French manicure ?,DESC,How,WRB,aux,VB,1,0,0,0,0
What is the definition of the Scrabble word ' syzygy ' ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
How does the car in '' Christine '' become possessed ?,DESC,How,WRB,aux,JJ,0,0,0,0,0
What are the Low Countries ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
Why do people shake hands to show friendliness ?,DESC,Why,WRB,aux,VB,0,0,0,0,0
Why do they call it a '' funny bone '' ?,DESC,Why,WRB,aux,VB,0,0,0,0,0
What exactly is radiation ?,DESC,What,WP,np,VBZ,0,0,0,0,0
What does a red flag mean in auto racing ?,DESC,What,WP,aux,NN,0,0,0,0,0
What is osteichthyes ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do you do a topic outline ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How can a foreigner get a U.S. Social Security card ?,DESC,How,WRB,aux,VB,0,1,0,0,0
What does the term glory hole mean ?,DESC,What,WP,aux,VB,0,0,0,0,0
What's the staff of life mentioned in the Lord's Prayer ?,DESC,What,WP,np,VBZ,0,0,0,0,0
What do you need to do to marry someone in jail ?,DESC,What,WP,aux,VB,0,0,0,0,0
How does marl form and what mineral does it contain ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How do I get my LAN card activated so that it can hook up to another computer without using a HUB ?,DESC,How,WRB,aux,VB,0,1,0,0,0
What do insects do through their spiracles ?,DESC,What,WP,aux,VB,0,0,0,0,0
What is the origin of Boxing Day ?,DESC,What,WP,ROOT,VBZ,0,0,0,1,0
What was the rallying cry of the early American revolutionaries ?,DESC,What,WP,ROOT,VBD,1,0,0,0,0
What are the short- and long-term effects of underage drinking ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
What's the claim to fame of night watchman Frank Wills ?,DESC,What,WP,ROOT,VBZ,1,0,0,1,0
What is a bone marrow transplant meant for ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What does the name Calder mean ?,DESC,What,WP,aux,VB,0,0,0,0,0
How can I gain access to a spy satelite ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is Archimedes famous for ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is cunnilingus ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is object-oriented design ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why does a woman have to be a virgin to be a nun ?,DESC,Why,WRB,aux,VB,0,0,0,0,0
How does food color affect how you think it will taste ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What does verdandi mean ?,DESC,What,WP,aux,VB,0,0,0,0,0
What is the origin of '' barbeque '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do you clean badly tarnished brass ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How can you define time ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How is plastic made ?,DESC,How,WRB,auxpass,VBN,0,0,0,0,0
How do ants have sex ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is a nematode ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the meaning of '' CPR '' ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
What is capitalism according to Max Weber ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
Why do oceans contain salt water instead of fresh water ?,DESC,Why,WRB,aux,VB,0,0,0,0,0
What does the word affiant mean ?,DESC,What,WP,aux,VB,0,0,0,0,0
How do they type Chinese characters on a keyboard ?,DESC,How,WRB,aux,VB,1,0,0,0,0
What does the word terrorism mean ?,DESC,What,WP,aux,VB,0,0,0,0,0
What does N est-ce pas mean ?,DESC,What,WP,aux,NN,0,0,0,0,0
What is the origin of the word '' tampon '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How can I get a CCT diagram ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is a plant supplement ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do you do a bibliography page ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is an ecological niche ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Where did the term fireplug come from ?,DESC,Where,WRB,aux,NN,0,0,0,0,0
What facial feature did Walt Disney sport that none of Disney's employees is allowed to ?,DESC,What,WDT,np,NN,0,1,0,0,0
How do vending machines tell if your dollar is a 1 or a 5 ?,DESC,How,WRB,aux,VB,0,0,0,0,1
What is a drought ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What are the benefits of home school ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
How do companies cut paper so thin ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is '' the computer for the rest of us '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What nuclear process takes place in an H-bomb ?,DESC,What,WDT,np,VBZ,0,0,0,0,0
What is office automation ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What does Lloyd's Lutine Bell announce ?,DESC,What,WP,aux,NN,0,1,0,0,0
What is '' cat scratch fever '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do wasps make their nests ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How come a doughnut has a hole in it ?,DESC,How,WRB,np,VBZ,0,0,0,0,0
What happened to Pompeii ?,DESC,What,WP,ROOT,VBD,1,0,0,0,0
What is the definition of a witch ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What are the cookies in Internet ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
What is the difference between molecules and compounds ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why are so many umbrellas black ?,DESC,Why,WRB,ROOT,VBP,0,0,0,0,0
What is the difference between fatalism and determinism ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do cameras take pictures ?,DESC,How,WRB,aux,VB,0,0,0,0,0
Why is Microsoft's Windows 3 such a successful computer program ?,DESC,Why,WRB,ROOT,VBZ,0,1,1,0,0
What is the origin of U.S. Army sergeant's stripes ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
What is proposition 98 about ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,1
Why does a candle go out when we blow on it ?,DESC,Why,WRB,aux,VB,0,0,0,0,0
What makes salt ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Where does the expression '' cloud nine '' come from ?,DESC,Where,WRB,np,VBN,0,0,0,0,1
What is lung cancer ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why were red M&Ms discontinued then brought back ?,DESC,Why,WRB,auxpass,VBN,0,0,0,0,0
What causes an earthquake ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What does '' saute '' mean ?,DESC,What,WP,np,VB,0,0,0,0,0
Why did the Aztecs first think the Spanish were Gods ?,DESC,Why,WRB,aux,VBP,1,1,0,0,0
What are the rules to '' snow golf '' ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
What is ouzo ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is making love ?,DESC,What,WP,aux,VBG,0,0,0,0,0
Why are peanut butter cookies topped with crisscrosses ?,DESC,Why,WRB,ROOT,VBP,0,0,0,0,0
What is a urologist ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What qualifications are there for individuals donating blood ?,DESC,What,WDT,np,VBP,0,0,0,0,0
What is the history of the hairdryer ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What happened in the city of Dogtown in 1899 ?,DESC,What,WP,ROOT,VBD,1,0,0,1,0
How do you make a million bucks ?,DESC,How,WRB,aux,VB,0,0,0,0,1
What is the definition of spamming ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What was the infamous feat of Germany's U-2 submarine ?,DESC,What,WP,ROOT,VBD,0,1,0,0,0
Why do many Native American students not complete college ?,DESC,Why,WRB,aux,JJ,1,0,0,0,0
How does a bill become law ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is a disaccharide ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Colin Powell is most famous for what ?,DESC,Colin,NNP,np,VBZ,1,0,0,0,0
How do you buy stocks ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What does appropriates money mean ?,DESC,What,WP,np,VB,0,0,0,0,0
How did former WWF wrestler Rick Rude die ?,DESC,How,WRB,aux,VBP,1,1,0,0,0
What is a '' False Moon '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How can I get rich quick ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How is the word ' qigong ' pronounced ?,DESC,How,WRB,auxpass,VBN,0,0,0,0,0
What is a '' repeating voter '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What are dingoes ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
How can I get someone's email address ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How did P.T. Barnum bill the diminutive Charles S. Stratton ?,DESC,How,WRB,aux,NN,1,0,1,0,0
What are pomegranates ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
Why do pharmacists work on raised floors ?,DESC,Why,WRB,aux,VB,0,0,0,0,0
How do they find an epicenter ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What did Cool Hand Luke go to jail for ?,DESC,What,WP,aux,VBP,1,0,0,0,0
What was the V-8 Juice slogan : '' the tastebud '' ?,DESC,What,WP,ROOT,VBD,0,0,0,0,0
What makes you fat ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do I know if I 'm jealous of someone ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How does James Bond like his martinis ?,DESC,How,WRB,aux,IN,1,0,0,0,0
What is a wet dream ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What happened to Pepsi Clear ?,DESC,What,WP,ROOT,VBD,0,1,0,0,0
What is a Mexican hairless ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
How did Socrates die ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How can scientists predict weather by observing clouds ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is the origin of the expression '' four-letter word '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,1
What is the difference between a board of directors and an advisory board ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the cultural origin of the ceremony of potlatch ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the origin of the word nevermind ?,DESC,What,WP,auxpass,NN,0,0,0,0,0
What is power steering ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How does a chick breathe inside an egg ?,DESC,How,WRB,nc,NN,0,0,0,0,0
How do you dunk ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How do plants make food ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How did the Hohenzollerns build their power around 17 ?,DESC,How,WRB,aux,VB,0,1,0,0,1
How do I find a snowboarding website ?,DESC,How,WRB,aux,VB,0,0,0,0,0
Why do movie and TV stars get paid so much ?,DESC,Why,WRB,aux,VBN,0,0,0,0,0
What is a turnkey contract ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What are people doing to help prevent the extinction of birds ?,DESC,What,WP,aux,VBG,0,0,0,0,0
Why is the mile 528 feet ?,DESC,Why,WRB,ROOT,VBZ,0,0,0,0,1
How is carbon dioxide removed from natural gas ?,DESC,How,WRB,ROOT,VBZ,0,0,0,0,0
How does the Nintendo '' Zapper '' work ?,DESC,How,WRB,nc,NN,0,0,0,0,0
What is InterLata Internet service ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
What is the '' fourth dimension '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,1
What is '' alternative '' anymore ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why do they call a hamburger a hamburger when there is no ham ?,DESC,Why,WRB,aux,VB,0,0,0,0,0
What is a biologist ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What revelation did Alexander Butterfield make to the Senate Watergate committee ?,DESC,What,WDT,np,VBP,1,1,1,0,0
How can I get started in writing for television ?,DESC,How,WRB,aux,VBN,0,0,0,0,0
How do you get a pointsettia to turn red ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How can I get in touch with Michael Moore of '' Roger & Me '' ?,DESC,How,WRB,aux,VB,1,0,1,0,0
How is ' qigong ' properly pronounced ?,DESC,How,WRB,auxpass,VBN,0,0,0,0,0
What is a '' node '' in computer terms ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the origin of the word Marijuana ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
How can SQL queries be improved ?,DESC,How,WRB,aux,VBN,0,0,0,0,0
How do you make a computer chip ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is Linux ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
What is agent orange ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why shouldn 't you remove a bee stinger with tweezers ?,DESC,Why,WRB,advcl,VBP,0,0,0,0,0
Why did Europeans first come to Australia and Oceania ?,DESC,Why,WRB,aux,VB,1,1,0,0,0
What did the Confederate Constitution say about slavery ?,DESC,What,WP,aux,VBP,0,0,1,0,0
What problems contributed to the high failure rate of Plains farmers in the 1800s ?,DESC,What,WP,np,VBD,0,1,0,1,0
How effective are condoms in protecting against AIDS ?,DESC,How,WRB,acomp,VBP,0,0,0,0,0
How can I call a friend in another country when I do not know the telephone number ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How do they get Teflon to stick to the pan ?,DESC,How,WRB,aux,VB,1,0,0,0,0
What is the origin of music ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How does crosstalk relate to InSb thickness in infrared detectors ?,DESC,How,WRB,aux,VB,0,1,0,0,0
What does seccession mean ?,DESC,What,WP,aux,VB,0,0,0,0,0
What will the weather be today ?,DESC,What,WP,aux,VB,0,0,0,1,0
How can I determine the radius of an ellipse ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is the Golden Rule ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How does color affect a person psychologically ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is sound ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What are the current immigration laws in US ?,DESC,What,WP,ROOT,VBP,0,1,0,0,0
Why does it say on children's cough syrup not to drive while using this medication ?,DESC,Why,WRB,aux,VB,0,0,0,0,0
What is the difference between khaki and chino ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the origin of infinity ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What are the side effects of mevacor ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
Colin Powell is best known for what achievement ?,DESC,Colin,NNP,np,VBN,1,0,0,0,0
Why should cigarette smoking be banned ?,DESC,Why,WRB,aux,VBN,0,0,0,0,0
What is the origin of the rock band Led Zeppelin's name ?,DESC,What,WP,np,NNP,1,0,0,0,0
How was Lawrence,DESC,How,WRB,ROOT,VBD,1,0,0,0,0
How do I know if I am pregnant ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What's the meaning of the name Tatiana ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
Where did the name root beer come from ?,DESC,Where,WRB,aux,VBP,0,0,0,0,0
Why is Rush's 2112 called 2112 ?,DESC,Why,WRB,ROOT,VBZ,1,0,0,1,0
What's the state motto of California ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
What function does homeostasis have on the existence of an organism ?,DESC,What,WDT,np,VB,0,0,0,0,0
What are the Baltic States ?,DESC,What,WP,ROOT,VBP,0,1,0,0,0
How has TV affected our society ?,DESC,How,WRB,aux,VBN,0,0,0,0,0
What is osmosis ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What are the seven deadly sins ?,DESC,What,WP,ROOT,VBP,0,0,0,0,1
What does the name Melissa mean ?,DESC,What,WP,aux,VB,1,0,0,0,0
What is the nature of snow and how is the formation of snow different from that of ice ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How can I get someone's phone number if I only have their screen name ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What's the motto of the Boy Scouts ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What's a male '' cuckquean '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why are ice cream sundaes called sundaes ?,DESC,Why,WRB,ROOT,VBP,0,0,0,0,0
What's distinctive about a palmiped's feet ?,DESC,What,WP,np,VBZ,0,0,0,0,0
What is goulash ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How does a parachute work ?,DESC,How,WRB,nc,NN,0,0,0,0,0
What is object-oriented design ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What does Melissa mean ?,DESC,What,WP,aux,VB,1,0,0,0,0
What is form drag ?,DESC,What,WP,auxpass,NN,0,0,0,0,0
What currents affect the area of the Shetland Islands and Orkney Islands in the North Sea ?,DESC,What,WP,np,VBP,0,1,0,0,0
How can I stop or slow down aging ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How did Super President gain his powers on the animated series ?,DESC,How,WRB,aux,VB,0,1,0,0,0
What are values ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
What causes blue balls ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How did the months of the year get there name ?,DESC,How,WRB,aux,VBP,0,0,0,1,0
What is a glory hole ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How does it make its colors ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What would happen to Canada if Quebec separated ?,DESC,What,WP,aux,VB,0,1,0,0,0
What is ' Last Chance for Animals ' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the weather like on the moon ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
What are boxcars ?,DESC,What,WP,auxpass,NNS,0,0,0,0,0
How do I keep cats out of my flower garden for good ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How can you tell when figs are ripe ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How do I love thee ?,DESC,How,WRB,aux,VB,0,0,0,0,0
How does a hydroelectric dam work ?,DESC,How,WRB,aux,NN,0,0,0,0,0
What are binomial coefficients ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
What was The Living Room War ?,DESC,What,WP,ROOT,VBD,0,0,1,0,0
Why are there letters on the telephone ? Why are there no Q or Z ?,DESC,Why,WRB,ROOT,VBP,0,0,0,0,0
What is an Angelus ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What makes sperm ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do I know how much money to save for retirement ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What does the dot on the letter i mean ?,DESC,What,WP,aux,VBP,0,0,0,0,0
What is the origin of the term soda jerk ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the cause of endangered species ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the definition of cecum ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do I do this ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is the origin of the word '' Teddy bear '' ?,DESC,What,WP,ccomp,NN,1,0,0,0,0
What are Fortune 500 companies ?,DESC,What,WP,ROOT,VBP,0,0,1,0,0
What is the difference between ninjitsu and kung fu ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do you fix squeaky floors ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What good are mosquitoes ?,DESC,What,WDT,np,VBP,0,0,0,0,0
How do you get bubblegum out of carpet ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is the Peloponnesian League ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
What are tannins ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
How does General Mills manufacture Cheerios ?,DESC,How,WRB,aux,VB,0,1,1,0,0
What personality traits are Capricorns said to have ?,DESC,What,WDT,nc,VBD,0,1,0,0,0
What caused the death of Bob Marley ?,DESC,What,WP,ROOT,VBD,1,0,0,0,0
What is Sinn Fein ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
What is Megan's law ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
What is usenet for the Internet ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What are field effect transistors ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
What is witch hazel ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why is Chicago named Chicago ?,DESC,Why,WRB,auxpass,VBN,0,1,0,0,0
What exactly is the purpose of the anteater ?,DESC,What,WP,np,VBZ,0,0,0,0,0
What is an auto-commentary ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is deconstructionism ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What did Lenny Bruce say that got him arrested ?,DESC,What,WP,aux,VB,1,0,0,0,0
Why do airliners crash vs. gliding down ?,DESC,Why,WRB,aux,VB,0,0,0,0,0
What are those little blue reflectors in the middle of the road for ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
How is saline used in medicine ?,DESC,How,WRB,ROOT,VBZ,0,0,0,0,0
What is the text of the Fifth Amendment ?,DESC,What,WP,ROOT,VBZ,0,0,1,0,0
What is the Internet2 ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
What is the Milky Way ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is Remembrance Day all about ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
What is meant by '' capital market '' ?,DESC,What,WP,auxpass,VBN,0,0,0,0,0
What is the difference between hair and fur ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the difference between love and infatuation ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do I find out the exact time of a sunset for a particular day ?,DESC,How,WRB,aux,VB,0,0,0,1,0
What are the benefits of a rowing machine ?,DESC,What,WP,ROOT,VBP,0,0,0,0,0
What's a '' coup de poing '' to a French boxer ?,DESC,What,WP,ROOT,VBZ,1,0,0,0,0
What's the difference between carelessness and carefreeness ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
Why does tuberculosis afflict people ?,DESC,Why,WRB,ROOT,VBZ,0,0,0,0,0
What is tyvek ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How did Asia get its name ?,DESC,How,WRB,aux,VB,0,1,0,0,0
What can I do to get into an Ivy League school ?,DESC,What,WP,aux,VB,0,0,0,0,0
What is '' the only cigarette made with no leftovers '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is the history of Buffalo chicken wings ?,DESC,What,WP,ROOT,VBZ,0,1,0,0,0
What is humidity ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is yohimbine ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is '' Chicago Hope '' ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?,DESC,What,WDT,nc,NN,0,0,0,0,0
What is Margaret Thatcher known for ?,DESC,What,WP,auxpass,VBN,1,0,0,0,0
How do I contact Answers.com direct ?,DESC,How,WRB,aux,VB,0,1,0,0,0
What causes a person to have constantly sweaty hands and feet ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What happened to Answers.com ?,DESC,What,WP,ROOT,VBD,0,1,0,0,0
What is the spectrum of a sine wave ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is a person's socioeconomic position ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What do you say to a friend who ignores you for other friends ?,DESC,What,WP,aux,VB,0,0,0,0,0
What does the name Jenna mean ?,DESC,What,WP,aux,VBP,1,0,0,0,0
Why do girls have to wear training bras ?,DESC,Why,WRB,aux,VB,0,0,0,0,0
How did Edith Bunker die ?,DESC,How,WRB,aux,VB,1,0,0,0,0
Define Spumante .,DESC,Define,NNP,nc,NNP,1,0,0,0,0
What are geckos ?,DESC,What,WP,auxpass,NN,0,0,0,0,0
What is cosmology ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What is habeas corpus ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
How do you use an intranet ?,DESC,How,WRB,aux,VB,0,0,0,0,0
What is federal income tax ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
What was the verdict in the 1925 trial of John T. Scopes ?,DESC,What,WP,ROOT,VBD,1,0,0,1,0
What is a common dolphin ?,DESC,What,WP,ROOT,VBZ,0,0,0,0,0
